id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
79297,Shave 'Em Dry II,['Lucille Bogan'],166440,1933,1933,0.995,0.555,0.217,0.0209,0.137,-11.743,0.0512,134.439,0.525,0,7,17,0
43111,Let's Do Our Thing Together,['Chuck Berry'],142440,1/1/71,1971,0.411,0.759,0.577,0.00996,0.104,-9.813,0.0498,108.39,0.966,1,7,24,0
115617,Soundtrack 2 My Life,['Kid Cudi'],235627,1/1/09,2009,0.465,0.464,0.754,1.57e-05,0.37,-6.653,0.128,86.501,0.444,0,9,52,1
156774,El Ausente,"['Fruko Y Sus Tesos', 'Joe Arroyo']",243693,3/29/73,1973,0.0529,0.66,0.81,0.115,0.275,-6.63,0.0363,108.433,0.766,1,9,44,0
81250,The Deadwood Stage (Whip-Crack-Away!),['Doris Day'],193173,11/9/53,1953,0.949,0.523,0.476,0.0556,0.486,-11.602,0.0432,113.35,0.856,1,4,40,0
5702,It's a Mistake,['Men At Work'],271707,2/1/96,1996,0.255,0.708,0.605,2.2e-05,0.0838,-4.71,0.0287,106.297,0.936,1,11,48,0
107386,La Vuelta de Rocha - Instrumental (Remasterizado),['Francisco Canaro'],165000,8/16/27,1927,0.995,0.77,0.141,0.717,0.108,-16.222,0.112,118.56,0.633,1,1,0,0
127638,Folk Songs of Brazil: São-João da ra-rão,"['Francisco Ernani Braga', 'Bidu Sayão']",180133,1942,1942,0.993,0.478,0.0812,3.92e-05,0.0556,-17.761,0.0616,113.853,0.196,0,5,1,0
137687,Stranger In Paradise,['Percy Faith & His Orchestra'],233320,1954,1954,0.965,0.156,0.29,0.868,0.371,-13.53,0.0356,140.064,0.0382,0,4,11,0
140265,1959,['John Anderson'],180253,1980,1980,0.506,0.585,0.252,0.000481,0.0963,-16.975,0.0371,123.317,0.419,1,0,33,0
128784,"Hänsel und Gretel / Act 3: ""Bleib stehn, bleib stehn!""","['Engelbert Humperdinck', 'Rita Streich', 'Gisela Litz', 'Munich Philharmonic Orchestra', 'Fritz Lehmann']",269840,1/1/53,1953,0.969,0.25,0.244,0.000193,0.201,-11.894,0.0372,75.147,0.09,1,4,0,0
14002,Nostalgia,['El Tri'],266120,9/18/98,1998,0.00595,0.502,0.678,4.86e-05,0.32,-7.472,0.0415,133.102,0.333,1,10,41,0
109324,Le dîner avec la Bête - Version originale de 1946,"['Georges Auric', 'Roger Desormières']",300515,1/1/46,1946,0.959,0.243,0.364,0.449,0.443,-14.429,0.118,79.052,0.132,0,0,0,0
14804,No Mas Porcer Michoacano,['Los Originales De San Juan'],149600,1/1/06,2006,0.324,0.706,0.758,0.0,0.0281,-6.439,0.099,129.975,0.905,1,7,45,0
31184,"Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante","['Frédéric Chopin', 'Brigitte Engerer']",274040,6/22/10,2010,0.989,0.422,0.0163,0.918,0.177,-26.561,0.0399,64.079,0.108,1,3,55,0
15342,Hear Me,['Imagine Dragons'],232240,9/4/12,2012,0.000328,0.613,0.833,0.00069,0.0765,-4.694,0.0365,125.025,0.537,1,4,48,0
12708,Ballcrusher,['W.A.S.P.'],207893,1985,1985,0.0133,0.234,0.929,0.176,0.675,-6.731,0.0658,158.474,0.437,1,8,36,1
168367,Let It Ride,['Ryan Adams & The Cardinals'],203533,2005,2005,0.0823,0.434,0.843,0.000463,0.216,-4.916,0.0315,154.226,0.89,0,2,46,0
132702,Ballad Of Peter Pumpkinhead - 2001 Remaster,['XTC'],302000,1992,1992,0.0146,0.574,0.942,0.0,0.326,-6.146,0.0687,122.766,0.598,1,2,46,0
96970,White Noise,['Rain Sounds'],240000,5/7/12,2012,0.119,0.0,0.601,0.771,0.968,-13.753,0.0,0.0,0.0,0,4,66,0
124007,Oakland Blackouts,['Hieroglyphics'],271400,1/1/98,1998,0.312,0.817,0.932,0.0106,0.284,-4.053,0.248,85.051,0.69,1,1,46,1
161271,I Like That,['Janelle Monáe'],200338,4/27/18,2018,0.0323,0.482,0.453,0.00243,0.149,-8.864,0.059,134.799,0.17,1,0,64,1
149065,Leader of the Band / Washington Post March,['Dan Fogelberg'],288467,1981,1981,0.889,0.607,0.092,0.0,0.0739,-21.067,0.0461,135.089,0.461,1,8,36,0
146373,Dance,['Jackie Gleason'],214893,1/18/54,1954,0.828,0.206,0.331,0.872,0.0886,-11.669,0.0341,98.002,0.119,1,0,3,0
105153,Si Te Pudiera Mentir,['Marco Antonio Solís'],261600,1999,1999,0.23,0.52,0.448,0.00176,0.106,-6.129,0.0274,96.035,0.278,0,11,61,0
122150,Amada Mía,['Cheo Feliciano'],284493,12/31/80,1980,0.725,0.353,0.559,2.32e-05,0.409,-3.858,0.0293,77.945,0.24,1,3,43,0
44658,Be My Girl,['New Kids On The Block'],234893,4/1/86,1986,0.282,0.689,0.479,3.22e-06,0.0372,-12.019,0.0409,159.535,0.86,1,0,28,0
