id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
12231,Cul-De-Sac,['Genesis'],305560,3/28/80,1980,0.021,0.496,0.483,1.14e-05,0.168,-13.519,0.0318,137.573,0.287,1,3,26,0
20257,Modern Girl,['Sheena Easton'],217467,1981,1981,0.467,0.679,0.661,1.83e-05,0.193,-12.017,0.0862,119.596,0.823,1,0,34,0
90058,Don't You Love Your Daddy No More?,['Lead Belly'],187716,1943,1943,0.99,0.56,0.277,0.00208,0.0946,-10.314,0.0508,130.848,0.686,1,6,1,0
123929,She's The One,['Robbie Williams'],258027,1998,1998,0.663,0.243,0.609,1.13e-05,0.221,-8.451,0.0323,166.668,0.333,1,10,68,0
103878,In The Morning Light,['Yanni'],228013,1986,1986,0.981,0.343,0.131,0.903,0.07,-20.507,0.0319,104.798,0.177,1,9,51,0
6583,Tell Me Where It Hurts,['MYMP'],253013,3/10/05,2005,0.702,0.726,0.542,0.0,0.0962,-7.952,0.042,89.583,0.396,1,7,60,0
80077,If You Build a Better Mousetrap,['Peggy Lee'],182400,1941,1941,0.942,0.693,0.298,0.000777,0.161,-10.564,0.044,144.828,0.762,1,3,10,0
7892,Lately,"['Forrest.', 'Biskwiq', 'Ryce']",207000,11/1/18,2018,0.213,0.718,0.632,1.28e-05,0.283,-4.011,0.145,160.039,0.859,1,0,64,0
92732,Oh! Darling - 2019 Mix,['The Beatles'],207147,9/26/69,1969,0.0344,0.437,0.669,0.00395,0.347,-6.524,0.0395,173.67,0.514,1,4,52,0
154200,Credo - Revised 1964 version,['Igor Stravinsky'],162973,1948,1948,0.993,0.453,0.112,0.0,0.146,-20.313,0.0563,102.936,0.159,1,9,0,0
95754,Untitled (How Does It Feel),"[""D'Angelo""]",430800,1/1/00,2000,0.16,0.838,0.304,0.0257,0.0828,-9.975,0.0628,112.618,0.221,0,4,60,0
121169,"Oh, Lonesome Me - 2009 Remaster",['Neil Young'],228880,8/31/70,1970,0.881,0.415,0.353,6.67e-06,0.354,-10.088,0.0308,117.711,0.322,1,9,41,0
10333,Someday Baby,['B.B. King'],174547,1/1/61,1961,0.494,0.809,0.448,0.000854,0.0952,-6.602,0.0605,80.473,0.608,1,9,10,0
24140,Not Friendly,['Flo Milli'],234991,4/6/20,2020,0.0523,0.881,0.781,0.0,0.0928,-4.932,0.184,139.977,0.659,1,1,64,1
135966,"12 Études, Op. 25: No. 3 in F Major ""The Horseman""","['Frédéric Chopin', 'Robert Lortat']",112933,1931,1931,0.995,0.508,0.0557,0.937,0.0989,-26.443,0.0452,133.684,0.333,1,0,0,0
8125,Homecoming,['Lil Uzi Vert'],213885,3/13/20,2020,0.000592,0.929,0.563,0.0,0.244,-7.428,0.49,129.957,0.353,1,9,64,1
69550,"Zoom, Zoom We're Going to the Moon",['The Kiboomers'],93920,5/1/09,2009,0.436,0.806,0.708,0.0,0.124,-8.684,0.147,92.038,0.891,1,2,49,0
167545,Barco Azul - Remastered,"[""Liran' Roll""]",418795,1997,1997,0.0053,0.314,0.699,0.000371,0.172,-4.104,0.0349,151.565,0.0822,0,10,51,0
93339,Chase The Devil,"['Max Romeo', 'The Upsetters']",206307,1/1/76,1976,0.183,0.825,0.62,0.0,0.0822,-6.083,0.211,150.243,0.744,1,2,63,0
43283,Fat City Strut,['Mandrill'],199360,1/1/73,1973,0.602,0.422,0.862,0.00904,0.294,-6.534,0.153,80.526,0.826,0,7,23,0
133377,Liebesleid (Love's Sorrow),"['Fritz Kreisler', 'Sergei Rachmaninoff', 'RueiBin Chen']",253573,3/31/99,1999,0.994,0.331,0.169,0.886,0.121,-19.859,0.0325,97.836,0.258,1,9,52,0
27304,Esto Es El Guaguancó,['Cheo Feliciano'],227213,6/15/71,1971,0.632,0.533,0.655,0.0616,0.0781,-8.012,0.0453,110.661,0.96,0,5,27,0
19183,Fixin' to Die Blues,['Bukka White'],168733,8/24/70,1970,0.897,0.565,0.266,0.571,0.103,-11.708,0.0375,109.976,0.577,1,11,29,0
3353,Troglodyte (Cave Man),['The Jimmy Castor Bunch'],217896,3/4/72,1972,0.0527,0.797,0.653,0.0043,0.0801,-14.226,0.0722,133.294,0.861,1,5,32,0
25457,"Violin Sonata No. 7 in C Minor, Op. 30 No. 2: IV. Finale - Allegro","['Ludwig van Beethoven', 'Wolfgang Schneiderhan', 'Wilhelm Kempff']",341000,1/1/53,1953,0.98,0.578,0.151,0.293,0.0766,-15.267,0.0448,117.398,0.313,0,0,0,0
163509,Run Joe,['Maya Angelou'],148373,1/1/57,1957,0.953,0.706,0.391,1.3e-05,0.0829,-10.692,0.32,102.938,0.389,1,10,13,0
138191,The Great Speckle Bird,['Johnny Cash'],128587,9/1/59,1959,0.781,0.6,0.367,0.000103,0.253,-10.327,0.0288,139.863,0.68,1,10,20,0
63516,Granada,"['Agustín Lara', 'Mario Lanza', 'Ray Sinatra']",236960,1949,1949,0.744,0.252,0.408,0.0144,0.198,-10.046,0.0325,87.046,0.486,1,5,3,0
92145,Ringo,['Lorne Greene'],214213,11/4/64,1964,0.864,0.563,0.521,0.0,0.216,-12.568,0.311,110.794,0.653,1,11,45,0
84443,We Built This City,['Starship'],296080,9/10/85,1985,0.052,0.661,0.908,0.0,0.0708,-4.897,0.039,144.091,0.656,1,5,76,0
1608,Things Ain't What They Used To Be,"['Dave Brubeck Trio', 'Gerry Mulligan']",440533,1955,1955,0.734,0.6,0.429,0.136,0.246,-12.013,0.0295,131.547,0.63,1,0,4,0
123932,Nuestra Cancion,['Elvis Crespo'],208800,4/14/98,1998,0.452,0.691,0.891,0.00174,0.237,-2.912,0.0443,126.217,0.934,1,3,48,0
127996,Часть 240.4 & Часть 241.1 - Триумфальная арка,['Эрих Мария Ремарк'],107151,1945,1945,0.169,0.732,0.132,7.3e-05,0.245,-21.556,0.829,84.548,0.545,1,5,0,1
140447,Sweet Time,['REO Speedwagon'],186410,6/11/82,1982,0.104,0.367,0.593,6.21e-05,0.409,-10.194,0.0308,81.288,0.667,1,2,36,0
56160,The Bloos,['George Handy Orchestra'],287600,11/11/49,1949,0.926,0.339,0.213,0.808,0.166,-12.218,0.0619,93.004,0.171,0,2,0,0
142577,A Way of Life,['Hans Zimmer'],483707,11/25/03,2003,0.895,0.0923,0.031,0.916,0.0766,-29.351,0.0454,86.636,0.0344,0,2,56,0
94425,Every Little Kiss,"['Bruce Hornsby', 'The Range']",348493,6/2/86,1986,0.588,0.546,0.621,0.00216,0.0754,-11.828,0.0306,82.817,0.624,1,10,48,0
9203,"Violin Sonata No. 5 in F Major, Op. 24 ""Spring"": IV. Rondo. Allegro ma non troppo","['Ludwig van Beethoven', 'Zino Francescatti', 'Robert Casadesus']",379920,1950,1950,0.977,0.411,0.188,0.325,0.0609,-16.656,0.0433,82.543,0.351,1,5,0,0
168259,Let It Bleed,['The Used'],190813,9/27/04,2004,0.000734,0.279,0.878,0.0,0.102,-4.843,0.261,150.406,0.523,1,8,45,1
146940,Birth Of The Blues,['Sonny Stitt'],357520,1/1/60,1960,0.769,0.638,0.214,0.0,0.0982,-14.185,0.0532,116.426,0.399,1,3,20,0
83445,Feel like Makin' Love - 2015 Remaster,['Bad Company'],313840,1975,1975,0.326,0.543,0.529,0.00269,0.709,-9.717,0.0301,85.126,0.746,1,7,70,0
113429,I Dreamed A Dream,['Randy Graff'],254160,5/11/87,1987,0.972,0.214,0.0874,0.000565,0.0916,-17.627,0.04,167.711,0.0782,1,3,40,0
28838,Miles Away,['Basia'],250307,10/20/87,1987,0.375,0.731,0.4,6.8e-05,0.299,-13.311,0.0356,114.424,0.463,1,0,31,0
27143,Como Deseo Ser Tu Amor,['Los Galos'],226116,6/13/70,1970,0.791,0.413,0.616,0.00318,0.241,-4.978,0.0371,90.166,0.414,1,9,36,0
132772,For The Cool In You,['Babyface'],293733,8/24/93,1993,0.142,0.668,0.77,0.515,0.0585,-7.661,0.0447,92.079,0.611,0,6,42,0
113258,Black Is The Color Of My True Love's Hair,"['Marc Johnson', 'Bill Frisell', 'John Scofield', 'Peter Erskine']",427360,1/1/86,1986,0.982,0.084,0.00835,0.943,0.0597,-33.475,0.041,83.285,0.0679,0,8,49,0
118066,Mosterio - Remasterizado,"['Francisco Canaro', 'Ernesto Fama']",167147,1/24/39,1939,0.96,0.75,0.518,0.000447,0.0514,-5.415,0.123,134.267,0.964,1,7,0,0
71056,Thoda Thoda Pyar,['Shamshad Begum'],167105,12/1/50,1950,0.719,0.736,0.397,0.134,0.345,-9.54,0.0586,94.479,0.916,1,0,0,0
97123,Wiggle (feat. Snoop Dogg),"['Jason Derulo', 'Snoop Dogg']",193296,9/10/13,2013,0.0802,0.697,0.621,0.0,0.162,-6.886,0.25,81.946,0.721,0,9,61,0
30603,Goodnight Moon,['Shivaree'],243777,4/13/04,2004,0.361,0.743,0.674,8.93e-05,0.0696,-7.683,0.0323,112.906,0.829,1,2,55,0
88372,Knee Drops,['Louis Armstrong & His Hot Seven'],204027,1926,1926,0.941,0.822,0.351,0.87,0.043,-13.299,0.138,105.113,0.961,1,10,2,0
20846,Running To Stand Still - Live,['U2'],285154,3/3/87,1987,0.268,0.202,0.414,0.00458,0.851,-11.085,0.0333,101.504,0.0988,1,1,39,0
40913,My Own Morning,['Leslie Uggams'],249427,1949,1949,0.898,0.263,0.172,8.31e-06,0.0869,-12.769,0.0296,96.944,0.161,1,1,2,0
46463,Manuel Juarez,['Grupo Laberinto'],297494,2/20/04,2004,0.715,0.769,0.436,0.0,0.17,-5.716,0.0505,119.675,0.971,1,7,41,0
96074,It's My Life,['No Doubt'],225867,1/1/03,2003,0.00264,0.606,0.75,0.000788,0.321,-4.535,0.0306,126.316,0.771,0,8,57,0
77411,Daylight,['5 Seconds of Summer'],205969,1/1/14,2014,0.0052,0.515,0.793,0.0,0.313,-3.908,0.047,155.868,0.484,1,2,53,0
127113,Cook House - Remastered,['Frente Popular'],42173,3/12/36,1936,0.949,0.568,0.282,0.0,0.345,-11.154,0.0358,112.555,0.874,1,7,2,0
31159,Raining Men,"['Rihanna', 'Nicki Minaj']",224853,11/16/10,2010,0.0161,0.675,0.805,0.0,0.346,-4.841,0.153,79.015,0.841,1,6,45,1
11913,"Workin' Hard, Playin' Hard",['Ted Nugent'],342733,4/12/77,1977,0.0845,0.389,0.884,0.154,0.238,-5.622,0.116,169.665,0.618,1,9,27,0
88347,Big Butter And Egg Man,['Louis Armstrong & His Hot Five'],188333,1926,1926,0.996,0.61,0.18,0.438,0.144,-15.011,0.0941,96.489,0.786,1,6,7,0
114319,Por Estar Pensando En Ti,['Grupo Bryndis'],237720,1/1/96,1996,0.484,0.721,0.716,0.00361,0.129,-8.156,0.0389,83.236,0.771,1,1,51,0
6404,Leaving On A Jetplane,['Slightly Stoopid'],195547,3/18/03,2003,0.0328,0.751,0.804,5.01e-05,0.077,-5.957,0.0551,87.982,0.858,1,7,41,0
14070,El Amigo Que Se Fué,['Intocable'],219600,1/1/99,1999,0.242,0.429,0.576,1.12e-06,0.187,-10.592,0.235,187.566,0.883,0,9,49,0
