Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
RST,CWA,Rochester-MN,Wausau-WI,0,0,4,153,200508,176068,127532
SLC,AUS,Salt Lake City-UT,Austin-TX,1587,1820,26,1085,200904,1130293,1705075
BMI,DFW,Bloomington-IL,Dallas-TX,919,1450,29,690,200909,167699,12895230
JFK,MIA,New York-NY,Miami-FL,0,0,1,1090,199504,34261384,8913928
DCA,MIA,Washington-DC,Miami-FL,60,134,1,920,200108,9854548,10240512
DFW,ORD,Dallas-TX,Chicago-IL,0,0,1,802,200611,11998822,18797710
RFD,ATL,Rockford-IL,Atlanta-GA,0,0,2,643,200912,353722,5475213
SEA,DAY,Seattle-WA,Dayton-OH,0,0,5,1957,199806,5831556,859406
PIT,DFW,Pittsburgh-PA,Dallas-TX,268,291,3,1068,199804,2418452,9475022
MBS,BUF,Saginaw-MI,Buffalo-NY,0,0,8,273,200509,206426,1139328
AMA,EKO,Amarillo-TX,Elko-NV,81,124,1,858,199512,211781,42918
MSP,ATL,Minneapolis-MN,Atlanta-GA,23,112,1,906,199607,2760875,3652439
ROA,ORD,Roanoke-VA,Chicago-IL,34,66,1,531,200808,298920,19031272
ICT,ORD,Wichita-KS,Chicago-IL,9,44,1,588,200807,603205,19031272
BRO,TOL,Brownsville-TX,Toledo-OH,0,0,1,1332,200311,357097,669292
BOS,ORD,Boston-MA,Chicago-IL,0,104,1,867,200310,8916374,18572324
LGA,TUL,New York-NY,Tulsa-OK,280,296,2,1231,200705,37802334,905678
ELP,DFW,El Paso-TX,Dallas-TX,276,300,2,551,199607,674005,8994450
SLC,EUG,Salt Lake City-UT,Eugene-OR,2144,2950,59,619,200411,1030597,331876
ELP,DFW,El Paso-TX,Dallas-TX,0,0,1,551,200608,720756,11998822
EWR,ORD,Newark-NJ,Chicago-IL,0,50,1,719,200806,18968501,19031272
HOU,DTW,Houston-TX,Detroit-MI,842,1430,13,1093,199902,4540138,8962394
SPS,EKO,Wichita Falls-TX,Elko-NV,115,124,1,1059,199804,147313,48011
ILN,EWR,Wilmington-OH,Newark-NJ,0,0,42,520,200408,41798,18747431
PIT,TOL,Pittsburgh-PA,Toledo-OH,88,110,1,201,199612,2447532,650576
IAH,RNO,Houston-TX,Reno-NV,381,416,4,1530,200108,4851189,355153
SLC,TUL,Salt Lake City-UT,Tulsa-OK,48,70,1,926,200604,1072748,892635
LGA,MIA,New York-NY,Miami-FL,43328,45478,242,1097,200907,38139592,11094102
DTW,ALB,Detroit-MI,Albany-NY,13,78,1,488,199007,8503650,811232
MDW,PUB,Chicago-IL,Pueblo-CO,137,137,1,918,200708,18903872,154348
ATL,ABY,Atlanta-GA,Albany-GA,2222,4850,97,146,200112,4432950,159833
ILN,AUS,Wilmington-OH,Austin-TX,0,0,28,1012,200302,41441,1382693
OMA,TUL,Omaha-NE,Tulsa-OK,29,119,1,352,199101,694707,772997
CAE,DOV,Columbia-SC,Dover-DE,130,150,1,476,200810,732558,155492
PDX,EKO,Portland-OR,Elko-NV,232,248,2,475,199302,1653097,40259
MEM,TOL,Memphis-TN,Toledo-OH,0,0,4,562,200302,1238075,669292
BGR,RNO,Bangor-ME,Reno-NV,124,362,1,2599,199802,144431,315959
DCA,ATL,Washington-DC,Atlanta-GA,0,150,1,547,200703,10626066,5267527
LIT,TUS,Little Rock-AR,Tucson-AZ,0,0,21,1095,200507,645679,948965
BFL,DFW,Bakersfield-CA,Dallas-TX,2688,4162,30,1271,199909,642495,9703564
BWG,YIP,Bowling Green-KY,Detroit-MI,0,0,1,395,200110,105524,8958464
OMA,EWR,Omaha-NE,Newark-NJ,26,37,1,1133,200211,782384,18590085
PIT,UCA,Pittsburgh-PA,Utica-NY,291,567,9,310,199110,2472127,318416
CAK,ATL,Akron-OH,Atlanta-GA,97,347,3,528,199012,658558,3087755
ORD,AUS,Chicago-IL,Austin-TX,58,182,1,978,200303,18572324,1382693
XNA,BKG,Fayetteville-AR,Branson-MO,0,100,2,64,200911,464623,79447
PIT,BOS,Pittsburgh-PA,Boston-MA,42,52,1,496,200301,2400193,8916374
DBQ,ORD,Dubuque-IA,Chicago-IL,21,50,1,147,200004,89232,18235464
MDW,TPA,Chicago-IL,Tampa-FL,0,0,1,997,200105,18385002,2442189
MSY,EWR,New Orleans-LA,Newark-NJ,71,149,1,1167,199607,1287349,17190036
TOL,DFW,Toledo-OH,Dallas-TX,0,0,1,943,200401,671681,11379964
ORD,DTW,Chicago-IL,Detroit-MI,22,109,1,235,199112,16550288,8578382
SBN,MDW,South Bend-IN,Chicago-IL,84,149,1,74,199907,308666,17655010
ABQ,EKO,Albuquerque-NM,Elko-NV,172,244,2,640,200205,753670,45640
GTF,EKO,Great Falls-MT,Elko-NV,100,122,1,510,200004,80201,46863
MSP,BKG,Minneapolis-MN,Branson-MO,1081,1485,11,576,200908,3269814,79447
ABE,EWR,Allentown-PA,Newark-NJ,17,50,1,67,199802,714749,17341505
AEX,MIA,Alexandria-LA,Miami-FL,17,150,1,837,200801,153451,11003504
MDW,ORD,Chicago-IL,Chicago-IL,8865,16400,164,16,199401,17018756,17018756
IAH,DAL,Houston-TX,Dallas-TX,42,63,1,217,200403,5190444,11379964
PIR,HON,Pierre-SD,Huron-SD,150,950,50,102,200901,19761,16266
PIT,ORD,Pittsburgh-PA,Chicago-IL,8,37,1,412,200311,2400193,18572324
LGA,TPA,New York-NY,Tampa-FL,53,149,1,1011,199006,33737966,2075572
BWI,ATL,Baltimore-MD,Atlanta-GA,0,50,1,576,200803,2677712,5385586
SAT,EKO,San Antonio-TX,Elko-NV,222,244,2,1248,199905,1678565,47319
JAN,ABI,Jackson-MS,Abilene-TX,38,44,1,562,200703,533801,159005
GPT,DFW,Gulfport-MS,Dallas-TX,9,64,1,500,199503,225681,8787062
ILN,MIA,Wilmington-OH,Miami-FL,0,0,21,967,200609,42837,10933486
STL,ORD,St. Louis-MO,Chicago-IL,0,0,1,258,200803,2818688,19031272
IND,BOS,Indianapolis-IN,Boston-MA,0,0,1,817,200501,1645027,8917782
CLT,EWR,Charlotte-NC,Newark-NJ,32,54,1,529,200911,1745524,19069796
ORD,TUS,Chicago-IL,Tucson-AZ,3234,3648,30,1437,200603,18797710,975476
IAD,TUL,Washington-DC,Tulsa-OK,108,128,1,1028,199012,8270942,762784
PHL,DTW,Philadelphia-PA,Detroit-MI,0,0,1,453,200111,11445082,8958464
ILN,DAL,Wilmington-OH,Dallas-TX,0,0,35,858,200404,41798,11379964
RFD,OMA,Rockford-IL,Omaha-NE,0,0,1,357,200507,338877,810493
MSY,DFW,New Orleans-LA,Dallas-TX,0,0,0,447,199004,1263257,8019250
MDT,ATL,Harrisburg-PA,Atlanta-GA,936,1100,22,619,200711,529783,5267527
CVG,DAY,Cincinnati-OH,Dayton-OH,0,0,0,64,200206,2050030,845416
MEM,DAL,Memphis-TN,Dallas-TX,35,59,1,423,200702,1290610,12313304
MDW,TOL,Chicago-IL,Toledo-OH,2964,5678,167,205,200401,18664180,671681
ROW,DFW,Roswell-NM,Dallas-TX,193,264,6,435,200908,63622,12895230
DCA,DTW,Washington-DC,Detroit-MI,15,110,1,405,200110,9854548,8958464
ABQ,DFW,Albuquerque-NM,Dallas-TX,22635,27348,212,569,200408,780865,11379964
AFW,AUS,Dallas-TX,Austin-TX,0,0,49,193,200809,12602170,1654100
RDD,ACV,Redding-CA,Eureka-CA,113,148,4,101,200503,177537,128943
CMH,YIP,Columbus-OH,Detroit-MI,0,0,1,159,200604,1737170,8969084
MSP,AUS,Minneapolis-MN,Austin-TX,1350,2300,23,1035,199802,2830434,1104612
EWR,AUS,Newark-NJ,Austin-TX,1087,1482,13,1504,200701,18901167,1594525
SAT,ACT,San Antonio-TX,Waco-TX,272,280,2,161,200906,2072128,233378
SLC,EKO,Salt Lake City-UT,Elko-NV,418,496,4,200,199611,882467,45034
ABQ,LRD,Albuquerque-NM,Laredo-TX,124,124,1,667,199904,695228,193180
SEA,EWR,Seattle-WA,Newark-NJ,101,167,1,2401,200501,6404776,18798114
IAH,TPA,Houston-TX,Tampa-FL,93,124,1,787,200611,5484883,2684639
PHX,TUL,Phoenix-AZ,Tulsa-OK,97,122,1,935,199807,2930726,831724
CLE,TUS,Cleveland-OH,Tucson-AZ,111,124,1,1726,200612,2106336,975476
LAW,DFW,Lawton-OK,Dallas-TX,28,50,1,140,200804,112249,12602170
